name	sample_len	model_contig_len	score	pvalue
k99_3007906flag=0multi=1.2844len=1407	1407	150	0.3130974769592285	0.3774338126822896
k99_3007906flag=0multi=1.2844len=1407	1407	300	0.11170926690101624	0.4296173964016774
k99_3007906flag=0multi=1.2844len=1407	1407	500	0.12176603078842163	0.38542587819149937
k99_3007906flag=0multi=1.2844len=1407	1407	1000	2.3399326209982974e-07	0.91162474507138
k99_4124080flag=0multi=1.0647len=1181	1181	150	0.5013156533241272	0.20223308296077747
k99_4124080flag=0multi=1.0647len=1181	1181	300	0.9514510631561279	0.014998647247147947
k99_4124080flag=0multi=1.0647len=1181	1181	500	0.9966440200805664	0.004496792037479539
k99_4124080flag=0multi=1.0647len=1181	1181	1000	0.9999770522117615	0.000849762066621346
k99_2487943flag=0multi=1.0736len=724	724	150	0.4343060851097107	0.2629474893300751
k99_2487943flag=0multi=1.0736len=724	724	300	0.5194127559661865	0.12526491410019389
k99_2487943flag=0multi=1.0736len=724	724	500	0.4357192814350128	0.17898737511524204
k99_2487943flag=0multi=1.0736len=724	724	1000	1.7738184396876022e-05	0.754739783971599
k99_2130008flag=0multi=1.0505len=654	654	150	0.7417006492614746	0.06978525016610174
k99_2130008flag=0multi=1.0505len=654	654	300	0.47965869307518005	0.15575821797357622
k99_2130008flag=0multi=1.0505len=654	654	500	0.9229253530502319	0.025607255075354194
k99_2130008flag=0multi=1.0505len=654	654	1000	0.9792019128799438	0.009422917138756703
k99_1317505flag=1multi=1.0224len=500	500	150	0.3285260498523712	0.3618878165786421
k99_1317505flag=1multi=1.0224len=500	500	300	0.6254268884658813	0.08438923208729765
k99_1317505flag=1multi=1.0224len=500	500	500	0.5459873676300049	0.11224105815725602
k99_1317505flag=1multi=1.0224len=500	500	1000	0.6316288709640503	0.03901352065866002
k99_3704962flag=1multi=1.0000len=645	645	150	0.3291934132575989	0.3612093332282294
k99_3704962flag=1multi=1.0000len=645	645	300	0.03781481832265854	0.5661890697569554
k99_3704962flag=1multi=1.0000len=645	645	500	0.0011994187952950597	0.8147284050499539
k99_3704962flag=1multi=1.0000len=645	645	1000	1.1646295039469123e-09	0.983080293073495
k99_2037818flag=1multi=1.0000len=548	548	150	0.43411314487457275	0.263093884077882
k99_2037818flag=1multi=1.0000len=548	548	300	0.40639442205429077	0.20141926320061324
k99_2037818flag=1multi=1.0000len=548	548	500	0.07234007865190506	0.4527554610622966
k99_2037818flag=1multi=1.0000len=548	548	1000	2.05168871616479e-05	0.7478472694312259
k99_2030791flag=0multi=1.2769len=684	684	150	0.6266932487487793	0.1204462787581221
k99_2030791flag=0multi=1.2769len=684	684	300	0.556170642375946	0.10789894936195157
k99_2030791flag=0multi=1.2769len=684	684	500	0.41857287287712097	0.18859244764718056
k99_2030791flag=0multi=1.2769len=684	684	1000	0.04458124190568924	0.24206888737820076
k99_4010133flag=1multi=1.0000len=761	761	150	0.547124981880188	0.16754315829776692
k99_4010133flag=1multi=1.0000len=761	761	300	0.780235767364502	0.047092708662127426
k99_4010133flag=1multi=1.0000len=761	761	500	0.6644142866134644	0.07639842706353836
k99_4010133flag=1multi=1.0000len=761	761	1000	0.2731897234916687	0.12640682831029534
k99_4151325flag=1multi=1.0000len=795	795	150	0.4054862856864929	0.2890310919922073
k99_4151325flag=1multi=1.0000len=795	795	300	0.08661818504333496	0.46481715290616404
k99_4151325flag=1multi=1.0000len=795	795	500	0.10025490820407867	0.41126832113492257
k99_4151325flag=1multi=1.0000len=795	795	1000	0.009017016738653183	0.3512916383412644
k99_1067109flag=0multi=1.0778len=562	562	150	0.3914538025856018	0.30190538394837896
k99_1067109flag=0multi=1.0778len=562	562	300	0.22926178574562073	0.3148024980836001
k99_1067109flag=0multi=1.0778len=562	562	500	0.025520063936710358	0.5743946264275903
k99_1067109flag=0multi=1.0778len=562	562	1000	0.017867332324385643	0.30255306292016015
k99_2037666flag=1multi=1.0000len=614	614	150	0.33291471004486084	0.3574678213083186
k99_2037666flag=1multi=1.0000len=614	614	300	0.0982288122177124	0.4478964693150561
k99_2037666flag=1multi=1.0000len=614	614	500	0.2888781428337097	0.25833976180172724
k99_2037666flag=1multi=1.0000len=614	614	1000	0.35621508955955505	0.10652239595135585
k99_306541flag=0multi=1.0874len=511	511	150	0.4403166174888611	0.25753932951205505
k99_306541flag=0multi=1.0874len=511	511	300	0.2077472060918808	0.33191482166208236
k99_306541flag=0multi=1.0874len=511	511	500	0.7397302389144897	0.06000112890176673
k99_306541flag=0multi=1.0874len=511	511	1000	0.9586770534515381	0.012557594984515447
k99_3862210flag=0multi=1.2666len=733	733	150	0.3124082088470459	0.3781432641524307
k99_3862210flag=0multi=1.2666len=733	733	300	0.15022124350070953	0.38470036524327006
k99_3862210flag=0multi=1.2666len=733	733	500	0.06804235279560089	0.4605919208263561
k99_3862210flag=0multi=1.2666len=733	733	1000	0.0004496945475693792	0.5633733665684719
k99_3005136flag=1multi=1.0000len=662	662	150	0.2865532636642456	0.4052657064672695
k99_3005136flag=1multi=1.0000len=662	662	300	0.00477281678467989	0.7440478874509627
k99_3005136flag=1multi=1.0000len=662	662	500	0.0006811071070842445	0.843129691997968
k99_3005136flag=1multi=1.0000len=662	662	1000	1.1876345951122858e-07	0.9265805574439157
k99_347830flag=1multi=1.0000len=1167	1167	150	0.4206502139568329	0.2750672852783189
k99_347830flag=1multi=1.0000len=1167	1167	300	0.28022006154060364	0.2791292780808946
k99_347830flag=1multi=1.0000len=1167	1167	500	0.6599817276000977	0.07734858605053717
k99_347830flag=1multi=1.0000len=1167	1167	1000	0.118691086769104	0.17933756326006495
k99_3179000flag=1multi=1.0000len=508	508	150	0.3798895478248596	0.312654136777739
k99_3179000flag=1multi=1.0000len=508	508	300	0.07530725002288818	0.4834907787347252
k99_3179000flag=1multi=1.0000len=508	508	500	0.03789658844470978	0.5310542060998326
k99_3179000flag=1multi=1.0000len=508	508	1000	1.2115136996726505e-05	0.7725847873706473
k99_4575140flag=1multi=1.0000len=717	717	150	0.4973425269126892	0.2060787603743201
k99_4575140flag=1multi=1.0000len=717	717	300	0.2549838423728943	0.295711773458989
k99_4575140flag=1multi=1.0000len=717	717	500	0.01793236844241619	0.6108863760371785
k99_4575140flag=1multi=1.0000len=717	717	1000	0.01584777608513832	0.31116398519525645
k99_4162479flag=1multi=1.0000len=958	958	150	0.20073378086090088	0.5044903773606153
k99_4162479flag=1multi=1.0000len=958	958	300	0.0035151841584593058	0.7627778779816927
k99_4162479flag=1multi=1.0000len=958	958	500	0.001246918924152851	0.8127716419876198
k99_4162479flag=1multi=1.0000len=958	958	1000	2.104955543202891e-09	0.979416874386283
k99_3781792flag=0multi=1.0180len=2096	2096	150	0.42171165347099304	0.27411008885035076
k99_3781792flag=0multi=1.0180len=2096	2096	300	0.6962134838104248	0.06561414979483249
