name	sample_len	model_contig_len	score	pvalue
v_phage-synechococcus-s-eivisample21	500	500	0.6880025863647461	0.07094206852433724
v_phage-synechococcus-s-eivisample21	500	1000	0.5973600149154663	0.04269582294735252
v_phage-synechococcus-s-eivisample22	500	150	0.5400879979133606	0.1723460321392777
v_phage-synechococcus-s-eivisample22	500	300	0.7839986681938171	0.04634305812328088
v_phage-synechococcus-s-eivisample22	500	500	0.6694791316986084	0.07527893281152985
v_phage-synechococcus-s-eivisample22	500	1000	0.8147156238555908	0.024152126293526702
v_phage-synechococcus-s-eivisample23	500	150	0.5746214389801025	0.15003209423317304
v_phage-synechococcus-s-eivisample23	500	300	0.668507993221283	0.07239482346575281
v_phage-synechococcus-s-eivisample23	500	500	0.9721944332122803	0.014195939716645657
v_phage-synechococcus-s-eivisample23	500	1000	0.9558604955673218	0.012897499811163985
v_phage-synechococcus-s-eivisample24	500	150	0.47988516092300415	0.22194006824247475
v_phage-synechococcus-s-eivisample24	500	300	0.38590893149375916	0.2134644000541101
v_phage-synechococcus-s-eivisample24	500	500	0.9282354116439819	0.02451598336751397
v_phage-synechococcus-s-eivisample24	500	1000	0.16367511451244354	0.15937759649520356
v_phage-synechococcus-s-eivisample25	500	150	0.6259602308273315	0.12084886431459105
v_phage-synechococcus-s-eivisample25	500	300	0.40288257598876953	0.20362312305541777
v_phage-synechococcus-s-eivisample25	500	500	0.6023162007331848	0.09240060960695404
v_phage-synechococcus-s-eivisample25	500	1000	0.03616812452673912	0.25608051967671275
v_phage-synechococcus-s-eivisample26	500	150	0.7417643070220947	0.06976554318082004
v_phage-synechococcus-s-eivisample26	500	300	0.5383737087249756	0.11595346530188934
v_phage-synechococcus-s-eivisample26	500	500	0.8610311150550842	0.03696212534572617
v_phage-synechococcus-s-eivisample26	500	1000	0.36806437373161316	0.10406752775889418
v_phage-synechococcus-s-eivisample27	500	150	0.5549222230911255	0.16232925304895215
v_phage-synechococcus-s-eivisample27	500	300	0.8321521282196045	0.037110519908012805
v_phage-synechococcus-s-eivisample27	500	500	0.9941304922103882	0.006011401907843986
v_phage-synechococcus-s-eivisample27	500	1000	0.9857873916625977	0.00840320265881109
v_phage-synechococcus-s-eivisample28	500	150	0.7534217834472656	0.06546097453857501
v_phage-synechococcus-s-eivisample28	500	300	0.9517560005187988	0.014947919015195923
v_phage-synechococcus-s-eivisample28	500	500	0.9930493831634521	0.0066040753353779
v_phage-synechococcus-s-eivisample28	500	1000	0.9999908208847046	0.0006231588488556538
v_phage-synechococcus-s-eivisample29	500	150	0.5502859354019165	0.16545984842513034
v_phage-synechococcus-s-eivisample29	500	300	0.7653439044952393	0.05005749199621229
v_phage-synechococcus-s-eivisample29	500	500	0.9834741353988647	0.010696344239778735
v_phage-synechococcus-s-eivisample29	500	1000	0.8283838033676147	0.023113528212100613
v_phage-synechococcus-s-eivisample30	500	150	0.6121701002120972	0.1281854934066058
v_phage-synechococcus-s-eivisample30	500	300	0.9145058393478394	0.02223587500563647
v_phage-synechococcus-s-eivisample30	500	500	0.9956801533699036	0.00504242789139965
v_phage-synechococcus-s-eivisample30	500	1000	0.9983137845993042	0.004399879144950525
v_phage-synechococcus-s-eivisample31	500	150	0.7535005807876587	0.06543563698606998
v_phage-synechococcus-s-eivisample31	500	300	0.871330738067627	0.02994656626234387
v_phage-synechococcus-s-eivisample31	500	500	0.9991125464439392	0.0021637283862349244
v_phage-synechococcus-s-eivisample31	500	1000	0.9941800832748413	0.0063448900974393836
v_phage-synechococcus-s-eivisample32	500	150	0.6497465372085571	0.10892050765194086
v_phage-synechococcus-s-eivisample32	500	300	0.8928573131561279	0.026113766514857736
v_phage-synechococcus-s-eivisample32	500	500	0.9949964880943298	0.005465766053923874
v_phage-synechococcus-s-eivisample32	500	1000	0.9972748756408691	0.0050796887982476014
v_phage-synechococcus-s-eivisample33	500	150	0.5833523273468018	0.14460422742987128
v_phage-synechococcus-s-eivisample33	500	300	0.8393989205360413	0.03585922351986292
v_phage-synechococcus-s-eivisample33	500	500	0.954839825630188	0.018720954298293478
v_phage-synechococcus-s-eivisample33	500	1000	0.9165323972702026	0.016504267693934586
v_phage-synechococcus-s-eivisample34	500	150	0.48725005984306335	0.2153635657256112
v_phage-synechococcus-s-eivisample34	500	300	0.3743078112602234	0.2203352572485007
v_phage-synechococcus-s-eivisample34	500	500	0.9231463074684143	0.025579032531185913
v_phage-synechococcus-s-eivisample34	500	1000	0.00036617644946090877	0.5779137397084372
v_phage-synechococcus-s-eivisample35	500	150	0.5309630632400513	0.1787733246247227
v_phage-synechococcus-s-eivisample35	500	300	0.22482801973819733	0.31809983316048157
v_phage-synechococcus-s-eivisample35	500	500	0.7094882130622864	0.06624771867767973
v_phage-synechococcus-s-eivisample35	500	1000	0.12735030055046082	0.1750321021225168
v_phage-synechococcus-s-eivisample36	500	150	0.5737637281417847	0.1505698134030022
v_phage-synechococcus-s-eivisample36	500	300	0.589996874332428	0.09549307841457366
v_phage-synechococcus-s-eivisample36	500	500	0.74640291929245	0.058787559502530624
v_phage-synechococcus-s-eivisample36	500	1000	0.9752976894378662	0.009876123574288088
v_phage-synechococcus-s-eivisample37	500	150	0.4236305356025696	0.27240402698167815
v_phage-synechococcus-s-eivisample37	500	300	0.4395453929901123	0.1819903503629887
v_phage-synechococcus-s-eivisample37	500	500	0.5107701420783997	0.1292404372612843
v_phage-synechococcus-s-eivisample37	500	1000	0.5792014598846436	0.04456529949391948
v_phage-synechococcus-s-eivisample38	500	150	0.5347684025764465	0.17594677987860496
v_phage-synechococcus-s-eivisample38	500	300	0.1886371523141861	0.34812531000586194
v_phage-synechococcus-s-eivisample38	500	500	0.478120893239975	0.15340834258405614
v_phage-synechococcus-s-eivisample38	500	1000	0.6662663817405701	0.035822192008459854
v_phage-synechococcus-s-eivisample39	500	150	0.4040955901145935	0.29037116699136273
v_phage-synechococcus-s-eivisample39	500	300	0.24918241798877716	0.29967984849168056
v_phage-synechococcus-s-eivisample39	500	500	0.41184455156326294	0.19224256335961165
v_phage-synechococcus-s-eivisample39	500	1000	0.051807843148708344	0.231966160586147
v_phage-synechococcus-s-eivisample40	500	150	0.6641250848770142	0.10229896059729057
v_phage-synechococcus-s-eivisample40	500	300	0.8844738602638245	0.027539793479731255
v_phage-synechococcus-s-eivisample40	500	500	0.9875258207321167	0.009191141884137048
v_phage-synechococcus-s-eivisample40	500	1000	0.9978430271148682	0.004720900370118589
v_phage-synechococcus-s-eivisample41	500	150	0.4708455204963684	0.2302282631952343
v_phage-synechococcus-s-eivisample41	500	300	0.6062911748886108	0.09012152229787618
v_phage-synechococcus-s-eivisample41	500	500	0.9351272583007812	0.02315189373271369
v_phage-synechococcus-s-eivisample41	500	1000	0.9503141641616821	0.013558425862980587
v_phage-synechococcus-s-eivisample42	500	150	0.49124959111213684	0.21166146777626377
v_phage-synechococcus-s-eivisample42	500	300	0.785547137260437	0.0459992334400505
v_phage-synechococcus-s-eivisample42	500	500	0.9814839363098145	0.011345462755649212
v_phage-synechococcus-s-eivisample42	500	1000	0.8414719700813293	0.022131580935115944
v_phage-synechococcus-s-eivisample43	500	150	0.5833523273468018	0.14460422742987128
v_phage-synechococcus-s-eivisample43	500	300	0.8393989205360413	0.03585922351986292
v_phage-synechococcus-s-eivisample43	500	500	0.954839825630188	0.018720954298293478
v_phage-synechococcus-s-eivisample43	500	1000	0.9165323972702026	0.016504267693934586
v_phage-synechococcus-s-eivisample44	500	150	0.5756655931472778	0.14931982747942027
v_phage-synechococcus-s-eivisample44	500	300	0.5635002851486206	0.10490598367678225
v_phage-synechococcus-s-eivisample44	500	500	0.8087120652198792	0.04706579615797099
v_phage-synechococcus-s-eivisample44	500	1000	0.6049638390541077	0.041713875670367856
v_phage-synechococcus-s-eivisample45	500	150	0.4284231662750244	0.26821206968389993
v_phage-synechococcus-s-eivisample45	500	300	0.5918926000595093	0.09489561257158317
v_phage-synechococcus-s-eivisample45	500	500	0.24159488081932068	0.28717379442698826
v_phage-synechococcus-s-eivisample45	500	1000	0.5481587052345276	0.04915401465367475
v_phage-synechococcus-s-eivisample46	500	150	0.46547406911849976	0.23492697154311326
v_phage-synechococcus-s-eivisample46	500	300	0.5040770173072815	0.13514000992018757
v_phage-synechococcus-s-eivisample46	500	500	0.5402321219444275	0.1147716796176786
v_phage-synechococcus-s-eivisample46	500	1000	0.0024863253347575665	0.44399123800891305
v_phage-synechococcus-s-eivisample47	500	150	0.518283486366272	0.1882326775599374
v_phage-synechococcus-s-eivisample47	500	300	0.4769276976585388	0.15765770843666863
v_phage-synechococcus-s-eivisample47	500	500	0.686767578125	0.0712148864512973
v_phage-synechococcus-s-eivisample47	500	1000	0.07350089401006699	0.2092680716066168
v_phage-synechococcus-s-eivisample48	500	150	0.6228379011154175	0.122535219197982
v_phage-synechococcus-s-eivisample48	500	300	0.8157546520233154	0.04000766559949497
v_phage-synechococcus-s-eivisample48	500	500	0.9864246845245361	0.009670925134997836
v_phage-synechococcus-s-eivisample48	500	1000	0.6275078058242798	0.039372309086789035
v_phage-synechococcus-s-eivisample49	500	150	0.6404521465301514	0.11350097408812963
v_phage-synechococcus-s-eivisample49	500	300	0.902421236038208	0.02432136898588628
v_phage-synechococcus-s-eivisample49	500	500	0.9164234399795532	0.026877269562926867
v_phage-synechococcus-s-eivisample49	500	1000	0.9353140592575073	0.015163531988820908
v_phage-synechococcus-s-eivisample50	500	150	0.4475650191307068	0.251069807772435
v_phage-synechococcus-s-eivisample50	500	300	0.7221550941467285	0.05929566668169725
v_phage-synechococcus-s-eivisample50	500	500	0.8325618505477905	0.04255018909104593
v_phage-synechococcus-s-eivisample50	500	1000	0.9388213157653809	0.014918045169574741
v_phage-synechococcus-s-eivisample51	500	150	0.49711453914642334	0.20630961363047715
v_phage-synechococcus-s-eivisample51	500	300	0.5645645260810852	0.10452270370203363
v_phage-synechococcus-s-eivisample51	500	500	0.791049599647522	0.050527761575946864
v_phage-synechococcus-s-eivisample51	500	1000	0.7741721868515015	0.02743787295112924
v_phage-synechococcus-s-eivisample52	500	150	0.6428366303443909	0.11232981610567448
