name	sample_len	model_contig_len	score	pvalue
h_human-3sample0	150	150	0.4040340781211853	0.2904331032308195
h_human-3sample0	150	300	0.6654543280601501	0.07313883753438247
h_human-3sample0	150	500	0.02652265690267086	0.5706128055090406
h_human-3sample0	150	1000	0.5124853253364563	0.05642420122365738
h_human-3sample1	150	150	0.5456202626228333	0.16852850756185178
h_human-3sample1	150	300	0.8327747583389282	0.037014699914325655
h_human-3sample1	150	500	0.28158074617385864	0.2627801087508702
h_human-3sample1	150	1000	0.007279925048351288	0.36615303270639776
h_human-3sample2	150	150	0.2677370309829712	0.4257215571896713
h_human-3sample2	150	300	0.2147810161113739	0.326329079677143
h_human-3sample2	150	500	0.01326710730791092	0.6401625618544093
h_human-3sample2	150	1000	0.1490829586982727	0.1649482589319435
h_human-3sample3	150	150	0.36302024126052856	0.32858301145257374
h_human-3sample3	150	300	0.12471862882375717	0.4132716327726924
h_human-3sample3	150	500	0.09922134876251221	0.41260418822555456
h_human-3sample3	150	1000	0.0017971498891711235	0.46712364982249416
h_human-3sample4	150	150	0.5229285359382629	0.18467978964200854
h_human-3sample4	150	300	0.81508469581604	0.040137304414483474
h_human-3sample4	150	500	0.2324732095003128	0.29324164142316883
h_human-3sample4	150	1000	0.7020033597946167	0.032819699373064434
h_human-3sample5	150	150	0.7227400541305542	0.07694733167419286
h_human-3sample5	150	300	0.848724901676178	0.03428664832935023
h_human-3sample5	150	500	0.43180081248283386	0.18140510639899152
h_human-3sample5	150	1000	0.28497278690338135	0.1233476848704585
h_human-3sample6	150	150	0.4037494361400604	0.29072026215920993
h_human-3sample6	150	300	0.47686856985092163	0.15768589078775308
h_human-3sample6	150	500	0.05628640577197075	0.48426122786882164
h_human-3sample6	150	1000	0.4345215857028961	0.08775209607976434
h_human-3sample7	150	150	0.2564838230609894	0.4381960788729857
h_human-3sample7	150	300	0.3417738974094391	0.23989944537133065
h_human-3sample7	150	500	0.4395977854728699	0.17679542418483885
h_human-3sample7	150	1000	0.01515412237495184	0.31382657300400335
h_human-3sample8	150	150	0.5490967631340027	0.16631850992669
h_human-3sample8	150	300	0.008891493082046509	0.7000946926996438
h_human-3sample8	150	500	0.011647837236523628	0.6514986170953357
h_human-3sample8	150	1000	0.021387115120887756	0.290127653146008
h_human-3sample9	150	150	0.5181888937950134	0.18828335266494747
h_human-3sample9	150	300	0.06613466143608093	0.5004452811471344
h_human-3sample9	150	500	0.1279916614294052	0.3789629155769629
h_human-3sample9	150	1000	0.32803821563720703	0.11284840244731476
h_human-3sample10	150	150	0.3997035622596741	0.29443080595939236
h_human-3sample10	150	300	0.5004902482032776	0.13843170852685213
h_human-3sample10	150	500	0.12789438664913177	0.37906639823891325
h_human-3sample10	150	1000	0.012279336340725422	0.32829141173804666
h_human-3sample11	150	150	0.3158334493637085	0.3746607583247936
h_human-3sample11	150	300	0.10763607919216156	0.43483676782251884
h_human-3sample11	150	500	0.3909790813922882	0.2038702515569437
h_human-3sample11	150	1000	0.011227957904338837	0.3351272754739784
h_human-3sample12	150	150	0.4810168743133545	0.22091248972421482
h_human-3sample12	150	300	0.6594829559326172	0.07462686567164178
h_human-3sample12	150	500	0.2561323046684265	0.2779356149692374
h_human-3sample12	150	1000	0.17592784762382507	0.1550721353576554
h_human-3sample13	150	150	0.3574109971523285	0.3335914009977365
