name	sample_len	model_contig_len	score	pvalue
v_arch-vir-anmv-1sample0	25	150	0.0012725887354463339	0.947624463688472
v_arch-vir-anmv-1sample0	25	300	0.14961132407188416	0.3853316499075619
v_arch-vir-anmv-1sample0	25	500	0.012874373234808445	0.6430036313006829
v_arch-vir-anmv-1sample0	25	1000	0.005036491900682449	0.3920424503361281
v_arch-vir-anmv-1sample1	25	150	0.34266164898872375	0.34787615004335537
v_arch-vir-anmv-1sample1	25	300	0.4257350265979767	0.19001668395184199
v_arch-vir-anmv-1sample1	25	500	0.055408865213394165	0.4863026585636607
v_arch-vir-anmv-1sample1	25	1000	0.00466350931674242	0.39795301759951657
v_arch-vir-anmv-1sample2	25	150	0.0025350498035550117	0.9302288262519566
v_arch-vir-anmv-1sample2	25	300	0.005267643369734287	0.7373179420119944
v_arch-vir-anmv-1sample2	25	500	0.00012873827654402703	0.9059812978607311
v_arch-vir-anmv-1sample2	25	1000	0.0016935004387050867	0.47159906337336654
v_arch-vir-anmv-1sample3	25	150	0.5255658030509949	0.18265560072521705
v_arch-vir-anmv-1sample3	25	300	0.2054903656244278	0.3337861297740903
v_arch-vir-anmv-1sample3	25	500	0.010853361338376999	0.6578298745037536
v_arch-vir-anmv-1sample3	25	1000	0.00201053055934608	0.45894705038144873
v_arch-vir-anmv-1sample4	25	150	0.0650591254234314	0.7133956824810531
v_arch-vir-anmv-1sample4	25	300	0.0020919181406497955	0.7913265996302475
v_arch-vir-anmv-1sample4	25	500	0.010993994772434235	0.6566821577075768
v_arch-vir-anmv-1sample4	25	1000	0.00850558653473854	0.3551438930432812
v_arch-vir-anmv-1sample5	25	150	0.019282834604382515	0.8336223691174649
v_arch-vir-anmv-1sample5	25	300	0.29550430178642273	0.26861162465617533
v_arch-vir-anmv-1sample5	25	500	0.004175226204097271	0.7362132871737944
v_arch-vir-anmv-1sample5	25	1000	0.007123867981135845	0.367795906035199
v_arch-vir-anmv-1sample6	25	150	0.20021001994609833	0.5051941982635331
v_arch-vir-anmv-1sample6	25	300	0.4931405484676361	0.14577602921946162
v_arch-vir-anmv-1sample6	25	500	0.0035672218073159456	0.7473423770908202
v_arch-vir-anmv-1sample6	25	1000	0.01646820642054081	0.30859581539391195
v_arch-vir-anmv-1sample7	25	150	0.13423043489456177	0.5945372236799135
v_arch-vir-anmv-1sample7	25	300	0.4660600423812866	0.16504148442079633
v_arch-vir-anmv-1sample7	25	500	0.010423483327031136	0.6613953225836798
v_arch-vir-anmv-1sample7	25	1000	0.15549823641777039	0.16271999395724754
v_arch-vir-anmv-1sample8	25	150	0.6240845918655396	0.12183984414589925
v_arch-vir-anmv-1sample8	25	300	0.509911835193634	0.1310028407809893
v_arch-vir-anmv-1sample8	25	500	0.012910875491797924	0.6427025908295546
v_arch-vir-anmv-1sample8	25	1000	0.11745981872081757	0.17999848931188156
v_arch-vir-anmv-1sample9	25	150	0.19335441291332245	0.5139638067138883
