name	sample_len	model_contig_len	score	pvalue
v_arch-vir-los-azufres-1sample0	150	150	0.6109472513198853	0.12886116147340684
v_arch-vir-los-azufres-1sample0	150	300	0.26557230949401855	0.288553456283537
v_arch-vir-los-azufres-1sample0	150	500	0.5278592109680176	0.12046322602494873
v_arch-vir-los-azufres-1sample0	150	1000	0.004836671054363251	0.395063826573004
v_arch-vir-los-azufres-1sample1	150	150	0.7721038460731506	0.05894640826116823
v_arch-vir-los-azufres-1sample1	150	300	0.5067943334579468	0.13313906299319114
v_arch-vir-los-azufres-1sample1	150	500	0.5015355348587036	0.13550584206664285
v_arch-vir-los-azufres-1sample1	150	1000	0.6330273151397705	0.03886245184681623
v_arch-vir-los-azufres-1sample2	150	150	0.6051806211471558	0.13209029177599352
v_arch-vir-los-azufres-1sample2	150	300	0.3975658416748047	0.2067513640257925
v_arch-vir-los-azufres-1sample2	150	500	0.4422833323478699	0.17551600218254343
v_arch-vir-los-azufres-1sample2	150	1000	0.0004690971109084785	0.5603708739330765
v_arch-vir-los-azufres-1sample3	150	150	0.7662426233291626	0.06086643168432788
v_arch-vir-los-azufres-1sample3	150	300	0.4605245590209961	0.1687897371150291
v_arch-vir-los-azufres-1sample3	150	500	0.6577258706092834	0.07780014675722967
v_arch-vir-los-azufres-1sample3	150	1000	0.11638236790895462	0.18054611375481533
v_arch-vir-los-azufres-1sample4	150	150	0.8063138723373413	0.047854190831184334
v_arch-vir-los-azufres-1sample4	150	300	0.8350345492362976	0.036558145826757454
v_arch-vir-los-azufres-1sample4	150	500	0.9314855337142944	0.023848049822197973
v_arch-vir-los-azufres-1sample4	150	1000	0.047772277146577835	0.23751793942140645
v_arch-vir-los-azufres-1sample5	150	150	0.5453575253486633	0.16871431628022207
v_arch-vir-los-azufres-1sample5	150	300	0.6935885548591614	0.06622852504847364
v_arch-vir-los-azufres-1sample5	150	500	0.36160534620285034	0.21922331558448888
v_arch-vir-los-azufres-1sample5	150	1000	0.5000502467155457	0.0623725356900068
v_arch-vir-los-azufres-1sample6	150	150	0.7684506773948669	0.06014008851251675
v_arch-vir-los-azufres-1sample6	150	300	0.7654300928115845	0.0500518555259954
v_arch-vir-los-azufres-1sample6	150	500	0.7461553812026978	0.058815782046698906
v_arch-vir-los-azufres-1sample6	150	1000	0.6671193838119507	0.035784424805498906
v_arch-vir-los-azufres-1sample7	150	150	0.280990868806839	0.4112228465895654
v_arch-vir-los-azufres-1sample7	150	300	0.8129501342773438	0.04048112909771385
v_arch-vir-los-azufres-1sample7	150	500	0.9418705701828003	0.021768989068467894
v_arch-vir-los-azufres-1sample7	150	1000	0.021720031276345253	0.2889757534556991
v_arch-vir-los-azufres-1sample8	150	150	0.6255244016647339	0.12107971757074808
v_arch-vir-los-azufres-1sample8	150	300	0.7457152605056763	0.05408193173107273
v_arch-vir-los-azufres-1sample8	150	500	0.24087420105934143	0.28757831756006696
v_arch-vir-los-azufres-1sample8	150	1000	0.08162746578454971	0.2023377898632827
v_arch-vir-los-azufres-1sample9	150	150	0.8361280560493469	0.039087397664440714
v_arch-vir-los-azufres-1sample9	150	300	0.6063920259475708	0.09009333994679172
v_arch-vir-los-azufres-1sample9	150	500	0.3638010025024414	0.21792507855274793
v_arch-vir-los-azufres-1sample9	150	1000	0.9443918466567993	0.014257119117758139
v_arch-vir-los-azufres-1sample10	150	150	0.9287698268890381	0.014721118005427867
v_arch-vir-los-azufres-1sample10	150	300	0.02647986076772213	0.6046185236957208
v_arch-vir-los-azufres-1sample10	150	500	0.006407542619854212	0.702600237069371
v_arch-vir-los-azufres-1sample10	150	1000	0.5341654419898987	0.05153334844021452
v_arch-vir-los-azufres-1sample11	150	150	0.49923503398895264	0.20431639283341405
v_arch-vir-los-azufres-1sample11	150	300	0.8296397924423218	0.03758398340623168
v_arch-vir-los-azufres-1sample11	150	500	0.503844141960144	0.13367137669570453
v_arch-vir-los-azufres-1sample11	150	1000	0.09599624574184418	0.19210287786086563
v_arch-vir-los-azufres-1sample12	150	150	0.4508087933063507	0.24806871544239367
v_arch-vir-los-azufres-1sample12	150	300	0.01801598072052002	0.6415317671461424
v_arch-vir-los-azufres-1sample12	150	500	0.11940116435289383	0.38809761237276336
v_arch-vir-los-azufres-1sample12	150	1000	0.0012265973491594195	0.49429715235289673
v_arch-vir-los-azufres-1sample13	150	150	0.639415979385376	0.11399364872017206
v_arch-vir-los-azufres-1sample13	150	300	0.5023783445358276	0.13653785453397665
v_arch-vir-los-azufres-1sample13	150	500	0.9045963287353516	0.02903159043443903
v_arch-vir-los-azufres-1sample13	150	1000	0.09772174060344696	0.19089432736611525
v_arch-vir-los-azufres-1sample14	150	150	0.9733341336250305	0.005188567696309726
v_arch-vir-los-azufres-1sample14	150	300	0.5037282109260559	0.1353992875501646
v_arch-vir-los-azufres-1sample14	150	500	0.768957793712616	0.05462943799507046
v_arch-vir-los-azufres-1sample14	150	1000	0.8032025098800659	0.02492635395422615
v_arch-vir-los-azufres-1sample15	150	150	0.7801976203918457	0.05622121372507066
v_arch-vir-los-azufres-1sample15	150	300	0.16407006978988647	0.37078955674798214
v_arch-vir-los-azufres-1sample15	150	500	0.4078275263309479	0.19460384955502455
v_arch-vir-los-azufres-1sample15	150	1000	0.0356699675321579	0.25711911775813884
v_arch-vir-los-azufres-1sample16	150	150	0.169855996966362	0.5450473530703484
v_arch-vir-los-azufres-1sample16	150	300	0.45021921396255493	0.17559859313703385
v_arch-vir-los-azufres-1sample16	150	500	0.2204488217830658	0.3015390694086436
v_arch-vir-los-azufres-1sample16	150	1000	0.0019102513324469328	0.4627426542790241
v_arch-vir-los-azufres-1sample17	150	150	0.4615482687950134	0.238412292654362
v_arch-vir-los-azufres-1sample17	150	300	0.10589605569839478	0.43728863236686655
v_arch-vir-los-azufres-1sample17	150	500	0.0015337765216827393	0.8013603266289112
v_arch-vir-los-azufres-1sample17	150	1000	0.007779727689921856	0.3616965027570058
v_arch-vir-los-azufres-1sample18	150	150	0.5634276866912842	0.15681974302091192
v_arch-vir-los-azufres-1sample18	150	300	0.6942541599273682	0.06610452270370204
v_arch-vir-los-azufres-1sample18	150	500	0.37864959239959717	0.21019210145063877
v_arch-vir-los-azufres-1sample18	150	1000	0.022351287305355072	0.28723846211949544
v_arch-vir-los-azufres-1sample19	150	150	0.7843993902206421	0.05481920248645849
v_arch-vir-los-azufres-1sample19	150	300	0.46169355511665344	0.1680006312846643
v_arch-vir-los-azufres-1sample19	150	500	0.6061761379241943	0.09128111535494553
v_arch-vir-los-azufres-1sample19	150	1000	0.9983766078948975	0.004343228340509102
v_arch-vir-los-azufres-1sample20	150	150	0.2939494848251343	0.3973829123545906
v_arch-vir-los-azufres-1sample20	150	300	0.27162331342697144	0.2845966541912793
v_arch-vir-los-azufres-1sample20	150	500	0.005875215865671635	0.7097875783175601
v_arch-vir-los-azufres-1sample20	150	1000	0.047362130135297775	0.23799002945841832
v_arch-vir-los-azufres-1sample21	150	150	0.999525785446167	0.00011824191169018367
v_arch-vir-los-azufres-1sample21	150	300	1.1084499419666827e-05	0.9436860260630383
v_arch-vir-los-azufres-1sample21	150	500	0.0003263650869484991	0.874635458804493
v_arch-vir-los-azufres-1sample21	150	1000	0.9976697564125061	0.0048908527834428586
v_arch-vir-los-azufres-1sample22	150	150	0.39283162355422974	0.3006863661445254
v_arch-vir-los-azufres-1sample22	150	300	0.2019851803779602	0.33686927898272984
v_arch-vir-los-azufres-1sample22	150	500	0.45976686477661133	0.16498899320777438
v_arch-vir-los-azufres-1sample22	150	1000	0.4910750091075897	0.06862300778004381
v_arch-vir-los-azufres-1sample23	150	150	0.8443129658699036	0.03672255943063704
v_arch-vir-los-azufres-1sample23	150	300	0.5617881417274475	0.10547526716868828
v_arch-vir-los-azufres-1sample23	150	500	0.9741048812866211	0.013678526406893828
v_arch-vir-los-azufres-1sample23	150	1000	0.8344200849533081	0.022603670972127805
v_arch-vir-los-azufres-1sample24	150	150	0.6228557229042053	0.12252114277992365
v_arch-vir-los-azufres-1sample24	150	300	0.5978145003318787	0.09271993506786311
v_arch-vir-los-azufres-1sample24	150	500	0.3366546630859375	0.23234679862273985
v_arch-vir-los-azufres-1sample24	150	1000	0.017725415527820587	0.302987385754211
